"city","lat","lng"
"Seattle",47.6217,-122.3238
"Tacoma",47.2431,-122.4531
"Spokane",47.6671,-117.433
"Vancouver",45.6352,-122.5972
"Richmond",37.5294,-77.4755
"Virginia Beach",36.7335,-76.0435
"Chesapeake",36.6778,-76.3024
"Norfolk",36.8945,-76.259
"Newport News",37.1052,-76.5185
"Alexandria",38.8184,-77.0861
"Washington",38.9047,-77.0163
"Milwaukee",43.064,-87.9669
"Madison",43.0809,-89.3921
"Honolulu",21.3293,-157.846
"Pembroke Pines",26.0127,-80.3384
"Port Saint Lucie",27.2795,-80.3882
"Orlando",28.4801,-81.3448
"Tallahassee",30.4549,-84.2527
"Miami",25.784,-80.2102
"Hollywood",26.0293,-80.1679
"Saint Petersburg",27.7931,-82.6652
"Cape Coral",26.644,-81.9961
"Tampa",27.9937,-82.4454
"Hialeah",25.8696,-80.3045
"Fort Lauderdale",26.1412,-80.1464
"Jacksonville",30.3322,-81.6749
"Jersey City",40.7161,-74.0683
"Newark",40.7242,-74.1724
"Albuquerque",35.1055,-106.6476
"Frisco",33.1551,-96.8219
"Pasadena",29.6583,-95.1498
"Irving",32.8584,-96.9702
"Arlington",32.6998,-97.1251
"Fort Worth",32.7813,-97.3466
"Lubbock",33.5665,-101.8867
"Corpus Christi",27.7173,-97.3822
"McKinney",33.1989,-96.6678
"Laredo",27.5536,-99.489
"Amarillo",35.1999,-101.8297
"Plano",33.0502,-96.7487
"Garland",32.91,-96.6305
"El Paso",31.8478,-106.431
"Dallas",32.7938,-96.7659
"Austin",30.3038,-97.7545
"Houston",29.7871,-95.3936
"Grand Prairie",32.6869,-97.0209
"Brownsville",25.9981,-97.4566
"San Antonio",29.4722,-98.5247
"Shreveport",32.4659,-93.7959
"New Orleans",30.0687,-89.9288
"Baton Rouge",30.4422,-91.1314
"Charlotte",35.208,-80.8308
"Raleigh",35.8323,-78.6441
"Cary",35.7815,-78.8162
"Fayetteville",35.0847,-78.9777
"Winston-Salem",36.1029,-80.261
"Durham",35.9801,-78.9045
"Greensboro",36.096,-79.8275
"Lincoln",40.8102,-96.6808
"Omaha",41.2634,-96.0453
"Memphis",35.1047,-89.9773
"Chattanooga",35.0657,-85.2488
"Clarksville",36.5696,-87.3428
"Knoxville",35.969,-83.9498
"Nashville",36.1714,-86.7844
"Buffalo",42.9016,-78.8487
"Queens",40.7498,-73.7976
"Rochester",43.1681,-77.6162
"New York",40.6943,-73.9249
"Bronx",40.8501,-73.8662
"Yonkers",40.9466,-73.8674
"Brooklyn",40.6501,-73.9496
"Manhattan",40.7834,-73.9662
"Staten Island",40.5834,-74.1496
"Philadelphia",40.0076,-75.134
"Pittsburgh",40.4396,-79.9763
"Pomona",34.0585,-117.7625
"Irvine",33.6772,-117.7738
"Salinas",36.6881,-121.6316
"Bakersfield",35.3528,-119.0354
"San Bernardino",34.1412,-117.2936
"Chula Vista",32.6281,-117.0144
"Anaheim",33.839,-117.8572
"Corona",33.8623,-117.5642
"Fresno",36.7834,-119.7933
"Sunnyvale",37.3846,-122.0261
"Ontario",34.0393,-117.6064
"Elk Grove",38.416,-121.3841
"Sacramento",38.5666,-121.4683
"Fontana",34.0967,-117.4599
"Riverside",33.9382,-117.3949
"Santa Rosa",38.4465,-122.7059
"Palmdale",34.5945,-118.1058
"Long Beach",33.8059,-118.161
"Stockton",37.9766,-121.3111
"Lancaster",34.6934,-118.1753
"Fremont",37.5256,-121.987
"Escondido",33.1349,-117.0721
"Santa Clarita",34.4119,-118.5036
"San Francisco",37.7561,-122.4429
"Santa Ana",33.7366,-117.8819
"Moreno Valley",33.9244,-117.2045
"Glendale",34.1818,-118.2468
"Rancho Cucamonga",34.1246,-117.5662
"Oakland",37.7903,-122.2165
"Garden Grove",33.7787,-117.9601
"Oceanside",33.2247,-117.3083
"San Diego",32.8312,-117.1225
"San Jose",37.302,-121.8488
"Oxnard",34.1961,-119.1821
"Los Angeles",34.114,-118.4068
"Modesto",37.6371,-121.003
"Huntington Beach",33.696,-118.0023
"Hayward",37.6327,-122.0776
"Henderson",36.0145,-115.0362
"Las Vegas",36.2288,-115.2603
"North Las Vegas",36.288,-115.0901
"Reno",39.5487,-119.8486
"Denver",39.7621,-104.8759
"Lakewood",39.6977,-105.117
"Colorado Springs",38.8673,-104.7605
"Aurora",39.7085,-104.7274
"Fort Collins",40.5487,-105.0656
"Anchorage",61.1508,-149.1091
"Montgomery",32.347,-86.2663
"Mobile",30.6782,-88.1161
"Birmingham",33.5276,-86.7986
"Huntsville",34.699,-86.6412
"Little Rock",34.7255,-92.3584
"Chicago",41.8373,-87.6861
"Aurora",41.7638,-88.2901
"Atlanta",33.7627,-84.4231
"Augusta",33.3644,-82.0708
"Columbus",32.51,-84.8771
"Fort Wayne",41.0885,-85.1436
"Indianapolis",39.7771,-86.1458
"Des Moines",41.5725,-93.6104
"Oklahoma City",35.4677,-97.5138
"Tulsa",36.1284,-95.9037
"Scottsdale",33.6872,-111.865
"Phoenix",33.5722,-112.0891
"Tucson",32.1558,-110.8777
"Gilbert",33.3103,-111.7463
"Mesa",33.4016,-111.718
"Chandler",33.2828,-111.8517
"Glendale",33.5797,-112.2246
"Peoria",33.7844,-112.2989
"Tempe",33.3881,-111.9318
"Boise",43.5991,-116.2306
"Baltimore",39.3051,-76.6144
"Boston",42.3189,-71.0838
"Worcester",42.2705,-71.8079
"Springfield",42.1155,-72.5395
"Toledo",41.6639,-83.582
"Akron",41.0802,-81.5219
"Cleveland",41.4766,-81.6805
"Columbus",39.9859,-82.9852
"Cincinnati",39.1412,-84.506
"Salt Lake City",40.7774,-111.9301
"Saint Louis",38.6358,-90.2451
"Springfield",37.1943,-93.2916
"Kansas City",39.1239,-94.5541
"Minneapolis",44.9635,-93.2679
"Saint Paul",44.9477,-93.104
"Grand Rapids",42.9615,-85.6557
"Detroit",42.3834,-83.1024
"Providence",41.8229,-71.4186
"Overland Park",38.8871,-94.6871
"Kansas City",39.1234,-94.7443
"Wichita",37.6894,-97.344
"Jackson",32.3163,-90.2124
"Louisville",38.1662,-85.6488
"Lexington",38.0423,-84.4587
"Salem",44.9231,-123.0245
"Portland",45.5372,-122.65
"Eugene",44.0562,-123.1172
"Sioux Falls",43.5382,-96.7315
